,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,prediction
1,0.8,0.86,5,262,6,0,1,0,sales,medium,0.625
2,0.11,0.88,7,272,4,0,1,0,sales,medium,1
3,0.72,0.87,5,223,5,0,1,0,sales,low,0.625
4,0.1,0.77,6,247,4,0,1,0,sales,low,1
5,0.92,0.85,5,259,5,0,1,0,sales,low,0.625
6,0.89,1,5,224,5,0,1,0,sales,low,0.625
7,0.11,0.81,6,305,4,0,1,0,sales,low,1
8,0.84,0.92,4,234,5,0,1,0,sales,low,0.625
9,0.78,0.99,4,255,6,0,1,0,sales,low,0.625
10,0.76,0.89,5,262,5,0,1,0,sales,low,0.625
11,0.11,0.83,6,282,4,0,1,0,sales,low,1
12,0.09,0.95,6,304,4,0,1,0,sales,low,1
13,0.89,0.92,5,242,5,0,1,0,sales,low,0.625
14,0.82,0.87,4,239,5,0,1,0,sales,low,0.625
15,0.09,0.62,6,294,4,0,1,0,accounting,low,1
16,0.84,0.87,4,246,6,0,1,0,hr,low,0.625
17,0.1,0.94,6,255,4,0,1,0,technical,low,1
18,0.11,0.89,6,306,4,0,1,0,technical,low,1
19,0.87,0.88,5,269,5,0,1,0,technical,low,0.625
20,0.1,0.8,7,281,4,0,1,0,technical,low,1
21,0.09,0.89,6,276,4,0,1,0,technical,low,1
22,0.84,0.74,3,182,4,0,1,0,technical,low,0.028291271
23,0.57,0.7,3,273,6,0,1,0,support,low,0.053642914
24,0.13,0.78,6,152,2,0,1,0,support,low,0.028291271
25,0.1,0.92,7,307,4,0,1,0,support,low,1
26,0.11,0.94,7,255,4,0,1,0,support,low,1
27,0.1,0.81,6,309,4,0,1,0,technical,low,1
28,0.85,1,4,225,5,0,1,0,technical,low,0.625
29,0.85,0.91,5,226,5,0,1,0,management,medium,0.625
30,0.11,0.93,7,308,4,0,1,0,IT,medium,1
31,0.1,0.95,6,244,5,0,1,0,IT,medium,1
32,0.11,0.94,6,286,4,0,1,0,IT,medium,1
33,0.81,0.7,6,161,4,0,1,0,IT,medium,0.028291271
34,0.9,0.98,4,264,6,0,1,0,product_mng,medium,0.625
35,0.76,0.86,5,223,5,1,1,0,product_mng,medium,0.625
36,0.74,0.99,2,277,3,0,1,0,IT,medium,0.028291271
37,0.09,0.77,5,275,4,0,1,0,product_mng,medium,1
38,0.09,0.87,7,295,4,0,1,0,product_mng,low,1
39,0.11,0.97,6,277,4,0,1,0,product_mng,medium,1
40,0.11,0.79,7,306,4,0,1,0,product_mng,medium,1
41,0.1,0.83,6,295,4,0,1,0,product_mng,medium,1
42,0.84,0.85,4,249,6,0,1,0,marketing,low,0.625
43,0.11,0.77,6,291,4,0,1,0,marketing,low,1
44,0.11,0.87,6,305,4,0,1,0,marketing,low,1
45,0.17,0.84,5,232,3,0,1,0,sales,low,0.028291271
46,0.1,0.79,6,291,4,0,1,0,sales,low,1
47,0.89,1,5,246,5,0,1,0,sales,low,0.625
